month,num_orders,monthly_revenue
2017-01,836,137006.76
2017-02,1821,283621.94
2017-03,2771,425656.4
2017-04,2543,405988.38
2017-05,3883,582926.16
2017-06,3393,499827.47
2017-07,4224,578858.58
2017-08,4473,662071.77
2017-09,4450,717195.22
2017-10,4769,764785.28
2017-11,7740,1172639.23
2017-12,5839,861914.46
2018-01,7477,1102639.41
2018-02,6846,979966.23
2018-03,7468,1152736.74
2018-04,7189,1156303.91
2018-05,7088,1145748.63
2018-06,6397,1020494.29
2018-07,6446,1039880.16
2018-08,6606,996896.15
2018-09,1,166.46
